year,ISO3,ADM0_NAME,ADM0_PCODE,ADM1_Category,ADM1_NAME,ADM1_COD_AB_UA,ADM1_COD_AB_EN,ADM1_PCODE,F_TL,M_TL,T_TL,F_00_04,F_05_09,F_10_14,F_15_19,F_20_24,F_25_29,F_30_34,F_35_39,F_40_44,F_45_49,F_50_54,F_55_59,F_60_64,F_65_69,F_70_74,F_75_79,F_80Plus,M_00_04,M_05_09,M_10_14,M_15_19,M_20_24,M_25_29,M_30_34,M_35_39,M_40_44,M_45_49,M_50_54,M_55_59,M_60_64,M_65_69,M_70_74,M_75_79,M_80Plus,T_00_04,T_05_09,T_10_14,T_15_19,T_20_24,T_25_29,T_30_34,T_35_39,T_40_44,T_45_49,T_50_54,T_55_59,T_60_64,T_65_69,T_70_74,T_75_79,T_80Plus
2020,UKR,Ukraine,UA,Regular ADM-1 unit,Cherkasy oblast,Черкаська,Cherkaska,UA71,642121,546387,1188508,22604,29311,27849,23694,28326,37681,47135,44878,43287,46580,44318,49787,46696,44643,33746,28509,43077,24508,31378,29851,25009,29588,39473,49052,45806,40832,41880,38328,40639,34217,28561,19085,12693,15487,47112,60689,57700,48703,57914,77154,96187,90684,84119,88460,82646,90426,80913,73204,52831,41202,58564
2020,UKR,Ukraine,UA,Regular ADM-1 unit,Chernihiv oblast,Чернігівська,Chernihivska,UA74,535715,447037,982752,18131,23771,23123,19148,21460,29757,39275,36183,35947,35882,35181,41197,42922,38812,28888,22450,43588,19103,24806,24032,20376,22333,31427,42324,41822,33657,32342,30418,32194,30417,24528,14881,8903,13474,37234,48577,47155,39524,43793,61184,81599,78005,69604,68224,65599,73391,73339,63340,43769,31353,57062
2020,UKR,Ukraine,UA,Regular ADM-1 unit,Chernivtsi oblast,Чернівецька,Chernivetska,UA73,475215,423352,898567,22841,27471,25020,22999,27498,32012,36779,37644,33287,31600,29963,32299,31102,26351,19208,16901,22240,24255,29146,26594,24229,28294,32223,36826,35910,32549,30166,27287,27275,23458,17664,11011,7941,8524,47096,56617,51614,47228,55792,64235,73605,73554,65836,61766,57250,59574,54560,44015,30219,24842,30764
2020,UKR,Ukraine,UA,Regular ADM-1 unit,Dnipropetrovsk oblast,Дніпропетровська,Dnipropetrovska,UA12,1724175,1449164,3173339,67548,87396,82924,65070,69482,97680,131601,132503,122099,119009,112405,134961,130179,116876,84360,67878,102204,71338,92765,87860,69973,74618,103504,135659,134099,115623,106002,91551,100969,87431,69569,42165,27001,39037,138886,180161,170784,135043,144100,201184,267260,266602,237722,225011,203956,235930,217610,186445,126525,94879,141241
2020,UKR,Ukraine,UA,Regular ADM-1 unit,Donetsk oblast,Донецька,Donetska,UA14,2247650,1871273,4118923,39772,94988,95805,72845,80174,113581,167437,175521,158783,152478,143336,180531,183406,168775,119572,97966,202680,42924,101631,101731,78178,86449,123260,176430,175364,152844,137386,119360,140356,131625,107315,65280,43226,87914,82696,196619,197536,151023,166623,236841,343867,350885,311627,289864,262696,320887,315031,276090,184852,141192,290594
2020,UKR,Ukraine,UA,Regular ADM-1 unit,Ivano-Frankivsk oblast,Івано-Франківська,Ivano-Frankivska,UA26,719570,645801,1365371,32943,40669,39185,34108,39557,49322,56061,55405,48531,47887,45872,51852,49514,38194,29465,24379,36626,35278,42989,41430,36014,40751,50814,58478,53958,48386,46098,42386,43939,38107,26122,16906,11362,12783,68221,83658,80615,70122,80308,100136,114539,109363,96917,93985,88258,95791,87621,64316,46371,35741,49409
2020,UKR,Ukraine,UA,Regular ADM-1 unit,Kharkiv oblast,Харківська,Kharkivska,UA63,1417308,1225517,2642825,51603,64295,60000,57134,65809,81028,107386,112959,102504,99694,92013,109698,109116,100062,74848,47986,81173,55496,68277,64053,59993,74723,89597,111120,120080,101348,92056,78867,84991,74109,60101,39790,20834,30082,107099,132572,124053,117127,140532,170625,218506,233039,203852,191750,170880,194689,183225,160163,114638,68820,111255
2020,UKR,Ukraine,UA,Regular ADM-1 unit,Kherson oblast,Херсонська,Khersonska,UA65,549870,476611,1026481,23548,29199,27502,22528,24796,32756,41990,40145,37541,37763,36475,42124,40857,37023,25694,21213,28716,25312,31225,28823,24351,26308,35134,44988,40445,36470,34343,30961,33378,29206,23511,13821,8517,9818,48860,60424,56325,46879,51104,67890,86978,80590,74011,72106,67436,75502,70063,60534,39515,29730,38534
2020,UKR,Ukraine,UA,Regular ADM-1 unit,Khmelnytskiy oblast,Хмельницька,Khmelnytska,UA68,669813,581726,1251539,28218,35070,33036,27342,31839,40433,48616,45960,44798,46425,44439,49998,49073,42213,31824,28000,42529,29769,36801,34956,29864,32902,42826,51411,47282,43408,42934,39839,41429,36547,27517,17996,12166,14079,57987,71871,67992,57206,64741,83259,100027,93242,88206,89359,84278,91427,85620,69730,49820,40166,56608
2020,UKR,Ukraine,UA,Regular ADM-1 unit,Kirovohrad oblast,Кіровоградська,Kirovohradska,UA35,499198,427496,926694,18941,25191,23578,19537,21966,30033,35769,33831,32829,35204,34287,38465,35792,34056,25601,23014,31104,19956,26715,24854,20831,23763,32872,39922,32840,31265,31829,29170,30943,25211,20780,13727,10144,12674,38897,51906,48432,40368,45729,62905,75691,66671,64094,67033,63457,69408,61003,54836,39328,33158,43778
2020,UKR,Ukraine,UA,Regular ADM-1 unit,Kyiv city,Київська,Kyivska,UA80,1574091,1351962,2926053,80521,81665,73891,68514,71450,92001,127626,148936,130073,112604,89574,105298,108951,101565,74806,44928,61688,86908,86848,77446,71047,77651,92098,115397,136984,115114,100836,78325,78378,73237,62960,44239,24486,30008,167429,168513,151337,139561,149101,184099,243023,285920,245187,213440,167899,183676,182188,164525,119045,69414,91696
2020,UKR,Ukraine,UA,Regular ADM-1 unit,Kyiv oblast,Київська,Kyivska,UA32,961467,813798,1775265,46843,53718,47824,35412,42205,60562,79709,78760,66611,64836,62758,72121,66159,58282,41553,35544,48570,49582,57326,51515,38113,41951,57112,74206,75807,63241,58927,53653,56537,47438,36517,21862,13997,16014,96425,111044,99339,73525,84156,117674,153915,154567,129852,123763,116411,128658,113597,94799,63415,49541,64584
2020,UKR,Ukraine,UA,Regular ADM-1 unit,Luhansk oblast,Луганська,Luhanska,UA44,1154744,976572,2131316,13408,44876,47480,37546,38945,58792,85078,90437,80321,76418,74365,95704,98087,87511,64097,50048,111631,14327,48341,50695,40213,42143,63775,92022,93481,81003,72738,64350,77655,74555,58221,36668,22181,44204,27735,93217,98175,77759,81088,122567,177100,183918,161324,149156,138715,173359,172642,145732,100765,72229,155835
2020,UKR,Ukraine,UA,Regular ADM-1 unit,Lviv oblast,Львівська,Lvivska,UA46,1312114,1181600,2493714,60412,71185,67203,61339,71349,86122,100541,100277,88108,86822,84265,97212,93220,72022,57676,46193,68168,63893,75094,70780,63697,74329,89641,103666,109322,87420,82818,77721,82450,72185,47793,33412,22476,24903,124305,146279,137983,125036,145678,175763,204207,209599,175528,169640,161986,179662,165405,119815,91088,68669,93071
2020,UKR,Ukraine,UA,Regular ADM-1 unit,Mykolayiv oblast,Миколаївська,Mykolaivska,UA48,600211,518936,1119147,23617,30960,29029,23932,26732,35777,46693,44504,41651,41128,39541,46886,44823,40877,29177,23385,31499,25185,33238,30995,25410,28384,38308,49254,46386,40162,37549,33048,36567,31516,25344,15703,10062,11825,48802,64198,60024,49342,55116,74085,95947,90890,81813,78677,72589,83453,76339,66221,44880,33447,43324
