year,ISO3,ADM0_NAME,ADM0_PCODE,ADM1_NAME,City_Name_EN,adm4_PCODE,F_TL,M_TL,T_TL,F_00_04,F_05_09,F_10_14,F_15_19,F_20_24,F_25_29,F_30_34,F_35_39,F_40_44,F_45_49,F_50_54,F_55_59,F_60_64,F_65_69,F_70_74,F_75_79,F_80Plus,M_00_04,M_05_09,M_10_14,M_15_19,M_20_24,M_25_29,M_30_34,M_35_39,M_40_44,M_45_49,M_50_54,M_55_59,M_60_64,M_65_69,M_70_74,M_75_79,M_80Plus,T_00_04,T_05_09,T_10_14,T_15_19,T_20_24,T_25_29,T_30_34,T_35_39,T_40_44,T_45_49,T_50_54,T_55_59,T_60_64,T_65_69,T_70_74,T_75_79,T_80Plus
2020,UKR,Ukraine,UA,Cherkasy oblast Cherkasy city,Cherkasy,UA7108049001,148088,124199,272287,5249,6587,6060,5071,5448,8465,12137,13370,11154,11019,10530,11879,10871,10413,8164,5147,6524,5748,7164,6417,5400,5880,8113,10656,14523,10790,9834,8301,8713,7170,6065,4441,2412,2572,10997,13751,12477,10471,11328,16578,22793,27893,21944,20853,18831,20592,18041,16478,12605,7559,9096
2020,UKR,Ukraine,UA,Chernihiv oblast Chernihiv city,Chernihiv,UA7410039001,152628,128451,281079,5424,6620,6457,5264,5538,7973,12023,14356,12440,11057,10087,11557,12167,11430,8543,4777,6915,5650,7022,6741,5579,5646,7849,11681,18906,11150,9164,7938,8099,7450,6561,4340,2244,2431,11074,13642,13198,10843,11184,15822,23704,33262,23590,20221,18025,19656,19617,17991,12883,7021,9346
2020,UKR,Ukraine,UA,Chernivtsi oblast Chernivtsi city,Chernivtsi,UA7306061001,142770,120532,263302,5793,6783,6367,6879,8118,9531,12653,14524,10757,9642,9035,9805,9650,8483,5986,3798,4966,6103,7189,6751,7087,8452,8680,10546,13302,9542,8729,7201,7616,6509,5256,3520,2095,1954,11896,13972,13118,13966,16570,18211,23199,27826,20299,18371,16236,17421,16159,13739,9506,5893,6920
2020,UKR,Ukraine,UA,Dnipropetrovsk oblast Kamianske city,Kamianske,UA1204015001,127402,103963,231365,4530,6146,6036,4357,4258,6590,9846,10307,9576,9309,8792,10706,10202,8912,6133,4374,7328,4712,6464,6375,4699,4590,7109,10110,10741,8908,7818,6525,7283,6241,4858,2789,1750,2991,9242,12610,12411,9056,8848,13699,19956,21048,18484,17127,15317,17989,16443,13770,8922,6124,10319
2020,UKR,Ukraine,UA,Dnipropetrovsk oblast Kryvyi Rih city,Kryvyi Rih,UA1206017001,340391,277373,617764,13029,17177,16504,13016,13008,19740,27358,27385,24849,23744,22175,26681,25025,21940,16123,13803,18834,13791,18274,17610,14170,14098,20068,27680,26426,23097,20290,16976,18211,15699,12482,7341,5018,6142,26820,35451,34114,27186,27106,39808,55038,53811,47946,44034,39151,44892,40724,34422,23464,18821,24976
2020,UKR,Ukraine,UA,Dnipropetrovsk oblast Nikopol city,Nikopol,UA1208005001,61760,49416,111176,2092,2963,2972,2204,1999,2904,4001,4566,4403,4559,4113,4969,4928,5122,3653,2648,3664,2313,3194,3149,2338,2195,3130,4191,4612,4004,3901,3136,3443,3062,2683,1714,1067,1284,4405,6157,6121,4542,4194,6034,8192,9178,8407,8460,7249,8412,7990,7805,5367,3715,4948
2020,UKR,Ukraine,UA,Dnipropetrovsk oblast Pavlohrad city,Pavlohrad,UA1212007001,57100,48068,105168,2531,3144,2995,2188,1954,3352,4729,3962,3735,3794,3931,5010,4417,3844,2854,2046,2614,2595,3294,3139,2136,1921,3263,5137,5333,3399,3300,2788,3397,3010,2272,1366,813,905,5126,6438,6134,4324,3875,6615,9866,9295,7134,7094,6719,8407,7427,6116,4220,2859,3519
2020,UKR,Ukraine,UA,Dnipropetrovsk oblast Dnipro city,Dnipro,UA1202001001,536612,443987,980599,20763,25614,23696,20610,22997,28487,39928,45692,40408,36998,33585,40591,41344,37424,27938,19597,30940,21719,26941,25058,21454,25198,30894,37756,44401,37647,33656,27304,29772,26418,21598,13677,8109,12385,42482,52555,48754,42064,48195,59381,77684,90093,78055,70654,60889,70363,67762,59022,41615,27706,43325
2020,UKR,Ukraine,UA,Ivano-Frankivsk oblast Ivano-Frankivsk city,Ivano-Frankivsk,UA2604019001,125836,108997,234833,5449,6352,6416,6362,7111,8736,11323,13333,8714,7823,7675,9172,8813,6896,4781,3072,3808,5761,6835,6702,6239,6926,8151,10130,13603,8082,6941,5977,6876,5992,4518,2905,1709,1650,11210,13187,13118,12601,14037,16887,21453,26936,16796,14764,13652,16048,14805,11414,7686,4781,5458
2020,UKR,Ukraine,UA,Kharkiv oblast Kharkiv city,Kharkiv,UA6312027001,765259,658381,1423640,26668,32063,29583,33689,39343,45086,60357,66194,57865,54535,48710,56953,57342,52654,41857,23595,38765,28532,33918,31443,34408,47430,50541,58942,70193,56335,49550,40637,42704,36757,30042,21347,10894,14708,55200,65981,61026,68097,86773,95627,119299,136387,114200,104085,89347,99657,94099,82696,63204,34489,53473
2020,UKR,Ukraine,UA,Kherson oblast Kherson city,Kherson,UA6510015001,156235,127121,283356,6765,7236,6968,6148,5919,8447,12063,14333,11021,10855,10453,12020,11138,10404,8415,6307,7743,7249,7857,7399,6859,6872,8670,12061,12129,9655,9267,8081,8774,7122,5964,4094,2441,2627,14014,15093,14367,13007,12791,17117,24124,26462,20676,20122,18534,20794,18260,16368,12509,8748,10370
2020,UKR,Ukraine,UA,Khmelnytskiy oblast Khmelnytskiy city,Khmelnytskiy,UA6804047001,146624,124255,270879,6810,8055,7184,6378,6859,9068,12933,14053,11441,10289,9316,10570,10982,9076,6151,3467,3992,7156,8347,7664,6682,6802,8549,11296,13189,10111,8889,7572,7719,7381,5770,3778,1943,1407,13966,16402,14848,13060,13661,17617,24229,27242,21552,19178,16888,18289,18363,14846,9929,5410,5399
2020,UKR,Ukraine,UA,Kirovohrad oblast Kropyvnytskyi city,Kropyvnytskyi,UA3504021001,121278,100920,222198,5006,6131,5656,4857,4854,7224,10154,10713,8386,8429,8115,9210,8633,8227,6226,4486,4971,5202,6469,6127,5162,6088,7665,9413,9350,8016,7439,6426,6679,5450,4444,3039,1965,1986,10208,12600,11783,10019,10942,14889,19567,20063,16402,15868,14541,15889,14083,12671,9265,6451,6957
